"ref","article_id","study_id","participant_id","efN_id","pct_female","age_mean","age_sd","aiN","aiMean","aiSD","aiN.1","aiN.0","humanN","humanMean","humanSD","humanN.1","humanN.0","dv_var","dv_type","dv_synonym","intent","in_action","RQ","harm","agent_intel","aiType_a","aiType_b","PMA","PMC","responsible","responsibleCat","yi","vi"
"bigman2018_s4",2,4,4,43,57.9399141630901,36.0815450643777,11.5324599320893,119,2.88235294117647,2.09590589850638,NA,NA,114,4.52631578947368,2.14191431339892,NA,NA,"permissible","continuous","permissible","sidee","action",61,"harm","implied","AI","AI",-1.05180831231263,-2.07325531396061,-0.450042631385116,"blame",-0.773467039761162,0.0184590921596505
"bigman2018_s4",2,4,4,44,57.9399141630901,36.0815450643777,11.5324599320893,119,2.88235294117647,2.09590589850638,NA,NA,114,4.52631578947368,2.14191431339892,NA,NA,"permissible","continuous","permissible","sidee","action",61,"harm","implied","AI","AI",-1.09529400224416,-2.07325531396061,-0.450042631385116,"blame",-0.773467039761162,0.0184590921596505
"bigman2018_s4",2,4,4,45,57.9399141630901,36.0815450643777,11.5324599320893,119,2.88235294117647,2.09590589850638,NA,NA,114,4.52631578947368,2.14191431339892,NA,NA,"permissible","continuous","permissible","sidee","action",61,"harm","implied","AI","AI",1.03565142283516,-2.07325531396061,-0.450042631385116,"blame",-0.773467039761162,0.0184590921596505
"bigman2018_s4",2,4,4,46,57.9399141630901,36.0815450643777,11.5324599320893,119,2.88235294117647,2.09590589850638,NA,NA,114,4.52631578947368,2.14191431339892,NA,NA,"permissible","continuous","permissible","sidee","action",61,"harm","implied","AI","AI",-1.05180831231263,-2.07325531396061,-0.73385289231261,"punishment",-0.773467039761162,0.0184590921596505
"bigman2018_s4",2,4,4,47,57.9399141630901,36.0815450643777,11.5324599320893,119,2.88235294117647,2.09590589850638,NA,NA,114,4.52631578947368,2.14191431339892,NA,NA,"permissible","continuous","permissible","sidee","action",61,"harm","implied","AI","AI",-1.09529400224416,-2.07325531396061,-0.73385289231261,"punishment",-0.773467039761162,0.0184590921596505
"bigman2018_s4",2,4,4,48,57.9399141630901,36.0815450643777,11.5324599320893,119,2.88235294117647,2.09590589850638,NA,NA,114,4.52631578947368,2.14191431339892,NA,NA,"permissible","continuous","permissible","sidee","action",61,"harm","implied","AI","AI",1.03565142283516,-2.07325531396061,-0.73385289231261,"punishment",-0.773467039761162,0.0184590921596505
"bigman2018_s5",2,5,5,49,61.3186813186813,37.6307692307693,11.6325883982502,224,3.49107142857143,2.16368534516967,NA,NA,231,4.9004329004329,2.12307197108132,NA,NA,"moral","continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.14294585553574,-2.78641699822908,-0.329449583913678,"blame",-0.656519297761041,0.0092669357447545
"bigman2018_s5",2,5,5,50,61.3186813186813,37.6307692307693,11.6325883982502,224,3.49107142857143,2.16368534516967,NA,NA,231,4.9004329004329,2.12307197108132,NA,NA,"moral","continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.57530582569537,-2.78641699822908,-0.329449583913678,"blame",-0.656519297761041,0.0092669357447545
"bigman2018_s5",2,5,5,51,61.3186813186813,37.6307692307693,11.6325883982502,224,3.49107142857143,2.16368534516967,NA,NA,231,4.9004329004329,2.12307197108132,NA,NA,"moral","continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.33059430744691,-2.78641699822908,-0.329449583913678,"blame",-0.656519297761041,0.0092669357447545
"bigman2018_s5",2,5,5,52,61.3186813186813,37.6307692307693,11.6325883982502,224,3.49107142857143,2.16368534516967,NA,NA,231,4.9004329004329,2.12307197108132,NA,NA,"moral","continuous","moral",NA,"action",59.5,"harm","implied","AI","AI",-1.14294585553574,-2.78641699822908,-0.54014256227623,"punishment",-0.656519297761041,0.0092669357447545
